         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
4.46684e+02 1.93630e+04 2.19778e-04 2.32843e-05 1.76911e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.19655e-25 1.19655e-25 
5.01187e+02 2.11078e+04 2.44243e-04 2.02361e-05 1.72895e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.22223e-25 1.22223e-25 
5.62341e+02 2.30490e+04 2.71560e-04 1.76167e-05 1.69170e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.24891e-25 1.24891e-25 
6.30957e+02 2.52127e+04 3.02085e-04 1.53626e-05 1.65660e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.27676e-25 1.27676e-25 
7.07946e+02 2.76292e+04 3.36222e-04 1.34196e-05 1.62294e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.30600e-25 1.30600e-25 
7.94328e+02 3.03338e+04 3.74432e-04 1.17418e-05 1.59011e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.33687e-25 1.33687e-25 
8.91251e+02 3.33679e+04 4.17240e-04 1.02902e-05 1.55758e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.36968e-25 1.36968e-25 
1.00000e+03 3.67799e+04 4.65246e-04 9.03182e-06 1.52486e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.40480e-25 1.40480e-25 
1.12202e+03 4.06267e+04 5.19137e-04 7.93884e-06 1.49155e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.44265e-25 1.44265e-25 
1.25893e+03 4.49754e+04 5.79700e-04 6.98761e-06 1.45731e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.48371e-25 1.48371e-25 
1.41254e+03 4.99059e+04 6.47837e-04 6.15815e-06 1.42184e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.52858e-25 1.52858e-25 
1.58489e+03 5.55130e+04 7.24589e-04 5.43352e-06 1.38492e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.57789e-25 1.57789e-25 
1.77828e+03 6.19102e+04 8.11154e-04 4.79935e-06 1.34641e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.63244e-25 1.63244e-25 
1.99526e+03 6.92338e+04 9.08917e-04 4.24339e-06 1.30620e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.69310e-25 1.69310e-25 
2.23872e+03 7.76488e+04 1.01948e-03 3.75522e-06 1.26427e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.76092e-25 1.76092e-25 
2.51189e+03 8.73551e+04 1.14471e-03 3.32593e-06 1.22067e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.83712e-25 1.83712e-25 
2.81838e+03 9.85967e+04 1.28676e-03 2.94790e-06 1.17550e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.92311e-25 1.92311e-25 
3.16228e+03 1.11673e+05 1.44815e-03 2.61455e-06 1.12892e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.02058e-25 2.02058e-25 
3.54813e+03 1.26952e+05 1.63182e-03 2.32027e-06 1.08116e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.13150e-25 2.13150e-25 
3.98107e+03 1.44889e+05 1.84118e-03 2.06017e-06 1.03246e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.25821e-25 2.25821e-25 
4.46684e+03 1.66046e+05 2.08020e-03 1.83006e-06 9.83122e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.40348e-25 2.40348e-25 
5.01187e+03 1.91112e+05 2.35348e-03 1.62627e-06 9.33460e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.57062e-25 2.57062e-25 
5.62341e+03 2.20925e+05 2.66627e-03 1.44565e-06 8.83784e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.76348e-25 2.76348e-25 
6.30957e+03 2.56482e+05 3.02443e-03 1.28541e-06 8.34398e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.98660e-25 2.98660e-25 
7.07946e+03 2.98916e+05 3.43438e-03 1.14315e-06 7.85572e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.24513e-25 3.24513e-25 
7.94328e+03 3.49448e+05 3.90281e-03 1.01675e-06 7.37539e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.54487e-25 3.54487e-25 
